,Artist,Song Name,GPE,Line,Line Before,Line After
89,French Montana,Unforgettable,Stockton,"Me, me and Max hit the block like Karl Malone, Stockton","I, I\'m the head, rockin\' bet it\'s re-up in the sock","And if I ain\'t the new Chapo, that\'s a lie (that\'s a lie)"
90,French Montana,Unforgettable,Chapo,"And if I ain\'t the new Chapo, that\'s a lie (that\'s a lie)","Me, me and Max hit the block like Karl Malone, Stockton","And if he try and tell you we gon\' stop, that\'s a lie"
91,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"And if he try and tell you we gon\' stop, that\'s a lie","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)"
92,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"Baby girl, comin\' home and you can\'t stay, oww","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)"
93,A$AP Rocky,Fuckin’ Problems,Atlanta,"Vacay'd in Atlanta, then she goin' back to Cali (Mmm)","Say she from the hood but she live inside in the valley, now","Got your girl on my line, world on my line"
94,A$AP Rocky,Fuckin’ Problems,Cali,"Vacay'd in Atlanta, then she goin' back to Cali (Mmm)","Say she from the hood but she live inside in the valley, now","Got your girl on my line, world on my line"
95,A$AP Rocky,Fuckin’ Problems,Goyard,"Bag made of Goyard, cheffin\' like I\'m Boyar—",(I know one thing) Anything is better than that 1 Train,"Dee, probably sellin\' D in your local courtyard"
96,A$AP Rocky,Fuckin’ Problems,Roc,And I\'m thinkin\' \'bout signin\' to the Roc,Just got back to the block from a 6 o\'clock with Jigga,But my niggas on the block still assigned to the rocks
97,A$AP Rocky,Fuckin’ Problems,Coachella,And thawed out for a spot date at a Coachella show—Yelawolf,Ain\'t never been no rapper this cold since 2Pac was froze,[Verse 5: Danny Brown]
98,A$AP Rocky,Fuckin’ Problems,Ho,"Ho, I\'m the meanest","Bitch, when I say this, I mean this","Dick so big, it\'s like from Earth to Venus"
99,A$AP Rocky,Fuckin’ Problems,Earth,"Dick so big, it\'s like from Earth to Venus","Ho, I\'m the meanest","That molly got me nauseous, aw, shit, no off switch"
100,A$AP Rocky,Fuckin’ Problems,Venus,"Dick so big, it\'s like from Earth to Venus","Ho, I\'m the meanest","That molly got me nauseous, aw, shit, no off switch"
101,A$AP Rocky,Fuckin’ Problems,Confetti,"Confetti torchin\', drinkin\' Henny like I\'m Kenny Lofton",Red roses dropped from boxes very often,"Outstandin\', I fixed the game between Georgia Southern and Gramblin\'"
102,A$AP Rocky,Fuckin’ Problems,Georgia,"Outstandin\', I fixed the game between Georgia Southern and Gramblin\'","Confetti torchin\', drinkin\' Henny like I\'m Kenny Lofton","You see us scramblin\', sellin\' Susan Sarandon"
103,A$AP Rocky,Fuckin’ Problems,Maison,"My Martin was a Maison, rocked Margielas with no laces","Let's take it to the basics, you in the midst of greatness","Cristal go by the cases, wait hold up that was racist"
104,A$AP Rocky,Fuckin’ Problems,Margielas,"My Martin was a Maison, rocked Margielas with no laces","Let's take it to the basics, you in the midst of greatness","Cristal go by the cases, wait hold up that was racist"
105,A$AP Rocky,Fuckin’ Problems,Cuba,"Cause my chain came from Cuba, got a lock up on the link","And I'm so 'bout it 'bout it, I might roll up in a tank",And them red bottom loafers just to compliment the mink
106,A$AP Rocky,Fuckin’ Problems,Harlem,"I be that pretty mothafucka, Harlem's what I'm reppin'",[Verse 1],"Tell my niggas quit the bitchin', we gon' make it in a second"
107,A$AP Rocky,Fuckin’ Problems,Harlem,"Import, export, Harlem catching rec still","Inhale, exhale, cocaine, X pills","So mami, show me how that neck feel (Feel)"
