,Artist,Song Name,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
49,French Montana,Unforgettable,Montana,Ha Ha Ha Ha Ha Ha!!! Montana!!!,"King Combs, now give me crown, bitch30Embed', ""Freaks Lyrics[Intro: Nicki Minaj]",,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}",0.0,0.123,0.877,-0.1027
50,French Montana,Unforgettable,Montana,"[Chorus: Vicious, Nicki Minaj, French Montana]",,"Freak, some gyal a freak a di week, some gyal a -","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
52,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Lights up the fire, you know we get higher","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
54,French Montana,Unforgettable,Montana,"Heard you a freak (haan), put my name on it (Montana, haan)","Let me plank on it, put a drink on it",[Chorus: Vicious],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
56,French Montana,Unforgettable,Montana,[Bridge: French Montana & Nicki Minaj],,"This girl tell me, say she horny","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
59,French Montana,Unforgettable,Montana,[Bridge: French Montana],,"This girl tell me, say she horny","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
60,French Montana,Unforgettable,Montana,[Bridge 3: French Montana],,Where my bad bitches at?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
61,French Montana,Unforgettable,Montana,[Bridge: French Montana],,"This girl tell me, say she horny","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
62,French Montana,Unforgettable,Montana,[Outro: Nicki Minaj & French Montana],,"Young Money, I don't even say my name anymore, playnigga","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
63,French Montana,Unforgettable,South,I came through South side Jamaica Queen bitch,"I come through like, I mean no Nicki",And everyboody know you are on my dick,"{'neg': 0.253, 'neu': 0.46, 'pos': 0.287, 'compound': 0.0772}",0.287,0.253,0.46,0.0772
64,French Montana,Unforgettable,Jamaica,I came through South side Jamaica Queen bitch,"I come through like, I mean no Nicki",And everyboody know you are on my dick,"{'neg': 0.253, 'neu': 0.46, 'pos': 0.287, 'compound': 0.0772}",0.287,0.253,0.46,0.0772
65,French Montana,Unforgettable,Montana,"Ha Ha Ha Ha Ha Ha, Montana",And everyboody know you are on my dick,"Haaaaan20Embed"", 'Famous Lyrics[Verse 1]","{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}",0.0,0.32,0.68,-0.5106
66,French Montana,Unforgettable,Montana,[Verse 2: French Montana],"When they love me, I get money, I get money, I get money, oh","I be gifted when I'm faded (Ha), faded all the time","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.296,0.0,0.704,0.6369
67,French Montana,Unforgettable,L.A.,"Hawk vision, L.A. heels right on Puff Terrace","That's like pissin' in a freezer, trying to make canaries","Making wishes, now I'm French kissing your bitch in Paris (Paris!)","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.238,0.0,0.762,0.3612
70,French Montana,Unforgettable,Montana,[Verse 3: French Montana],"When they love me, I get money, I get money, I get money, oh","Ayy, Tony Montana on his last batch (Last batch)","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.296,0.0,0.704,0.6369
71,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Told that bitch take your shoes off, look don\'t even argue","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
72,French Montana,Unforgettable,Montana,[Verse 1: French Montana],"Got a hunnid bad bitches, feel like","Feelin\' like golden, sippin\' and drinkin\', I\'m feelin\' like Kobe","{'neg': 0.574, 'neu': 0.233, 'pos': 0.194, 'compound': -0.7096}",0.194,0.574,0.233,-0.7096
74,French Montana,Unforgettable,Montana,"Hit it!43Embed', 'Writing on the Wall Lyrics[Intro: French Montana, Post Malone & Cardi B]",They gon smoke that shit like a blunt of dust,Montana,"{'neg': 0.275, 'neu': 0.534, 'pos': 0.191, 'compound': -0.2732}",0.191,0.275,0.534,-0.2732
75,French Montana,Unforgettable,Montana,Montana,"Hit it!43Embed', 'Writing on the Wall Lyrics[Intro: French Montana, Post Malone & Cardi B]",Posty (Hahaha),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
76,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"From the block, now we\'re snipin\' on the opps like Somalians (Uh-huh)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
77,French Montana,Unforgettable,Montana,"We\'re the stars like the network (Work, Montana)","Neck work, then the leg work (Work)",[Chorus: Post Malone],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
78,French Montana,Unforgettable,Montana,[Verse 3: Cardi B & French Montana],,"All the millions make \'em horny, Montana","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
79,French Montana,Unforgettable,Montana,"All the millions make \'em horny, Montana",[Verse 3: Cardi B & French Montana],"Cardi, we the hottest out the South Bronx, yeah","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
81,French Montana,Unforgettable,Montana,[Hook: Jeremih & French Montana],,Got a good thing goin\' with a bad bitch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
83,French Montana,Unforgettable,Cali,Dominican mami from Cali,"Said, ""French, take me to Paris""","I said, ""Gon\' bend it over, let me grab it""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
84,French Montana,Unforgettable,Montana,[Hook: Jeremih & French Montana],,Got a good thing goin\' with a bad bitch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
85,French Montana,Unforgettable,Montana,"Treat her like my whip, I put some shoes on her, yeah43Embed', 'A Lie Lyrics[Intro: Max B & French Montana]",Don\'t mind spendin\' this loot on it (Yeah),"Uh, Boss Don shit","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
86,French Montana,Unforgettable,Montana,"Montana, ow",Thought I\'d have a little fun with it,You know what it is when you hear that haaaaan,"{'neg': 0.0, 'neu': 0.666, 'pos': 0.334, 'compound': 0.4601}",0.334,0.0,0.666,0.4601
88,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"My heart cold but it really beat for you, though","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
91,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"And if he try and tell you we gon\' stop, that\'s a lie","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",0.0,0.167,0.833,-0.296
92,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"Baby girl, comin\' home and you can\'t stay, oww","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
93,A$AP Rocky,Fuckin’ Problems,Atlanta,"Vacay'd in Atlanta, then she goin' back to Cali (Mmm)","Say she from the hood but she live inside in the valley, now","Got your girl on my line, world on my line","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
94,A$AP Rocky,Fuckin’ Problems,Cali,"Vacay'd in Atlanta, then she goin' back to Cali (Mmm)","Say she from the hood but she live inside in the valley, now","Got your girl on my line, world on my line","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
96,A$AP Rocky,Fuckin’ Problems,Roc,And I\'m thinkin\' \'bout signin\' to the Roc,Just got back to the block from a 6 o\'clock with Jigga,But my niggas on the block still assigned to the rocks,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",0.0,0.244,0.756,-0.4404
99,A$AP Rocky,Fuckin’ Problems,Earth,"Dick so big, it\'s like from Earth to Venus","Ho, I\'m the meanest","That molly got me nauseous, aw, shit, no off switch","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
106,A$AP Rocky,Fuckin’ Problems,Harlem,"I be that pretty mothafucka, Harlem's what I'm reppin'",[Verse 1],"Tell my niggas quit the bitchin', we gon' make it in a second","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
107,A$AP Rocky,Fuckin’ Problems,Harlem,"Import, export, Harlem catching rec still","Inhale, exhale, cocaine, X pills","So mami, show me how that neck feel (Feel)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
108,A$AP Rocky,Fuckin’ Problems,Hollywood,It started in Hollywood,[Chorus],Dreamin\' of sharin\' love,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
109,A$AP Rocky,Fuckin’ Problems,Hollywood,It started in Hollywood,[Chorus],"Duh, duh-duh","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
114,A$AP Rocky,Fuckin’ Problems,Harlem,Come to Harlem if you never seen Baghdad,One you be with be the one to shoot at ya in a minute,First place I seen a nigga sell crack at,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",0.0,0.167,0.833,-0.34
119,A$AP Rocky,Fuckin’ Problems,New York,I put New York on the map,I put A$AP on my tat,I put the gang on the flames,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
121,Nicki Minaj,Fuckin’ Problems,L.A.,"You know, L.A. traffic, how the city slow",We had just come from that video,"She was sitting down on that big butt, but I was still staring at the titties though","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
122,Nicki Minaj,Fuckin’ Problems,Houston,"Ass on Houston Texas, but the face look just like Clair Huxtable","Yeah, so thick that everybody else in the room is so uncomfortable","Oh! Yeah, you the man in the city when the mayor fuck with you","{'neg': 0.216, 'neu': 0.642, 'pos': 0.141, 'compound': -0.2883}",0.141,0.216,0.642,-0.2883
123,Nicki Minaj,Fuckin’ Problems,Texas,"Ass on Houston Texas, but the face look just like Clair Huxtable","Yeah, so thick that everybody else in the room is so uncomfortable","Oh! Yeah, you the man in the city when the mayor fuck with you","{'neg': 0.216, 'neu': 0.642, 'pos': 0.141, 'compound': -0.2883}",0.141,0.216,0.642,-0.2883
125,Nicki Minaj,Fuckin’ Problems,Texas,"Ridin\'-ridin\' through Texas (Texas), feed him for his breakfast (Uh)",Pretty gang always keep them niggas on geek,"Everytime I whip it, I be talkin\' so reckless","{'neg': 0.339, 'neu': 0.403, 'pos': 0.258, 'compound': 0.0}",0.258,0.339,0.403,0.0
126,Nicki Minaj,Fuckin’ Problems,Texas,"Ridin\'-ridin\' through Texas (Texas), feed him for his breakfast (Uh)",Pretty gang always keep them niggas on geek,"Everytime I whip it, I be talkin\' so reckless","{'neg': 0.339, 'neu': 0.403, 'pos': 0.258, 'compound': 0.0}",0.258,0.339,0.403,0.0
127,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
128,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
129,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Ego, ego, ego, ego, ego, ego, ego, ego)","Smoke it all off, talkin\' bout that high-grade","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
130,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
131,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
132,Nicki Minaj,Fuckin’ Problems,Texas,Ridin\' through Texas (Ridin\' through Texas) (Ridin\' through Texas),"(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
137,Nicki Minaj,Fuckin’ Problems,Roc,Show off my diamonds like I\'m signed by the Roc (By the rock),"Oh, now she tryna be friends like I forgot",Ain\'t pushin\' out his babies \'til he buy the rock,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.6808}",0.483,0.0,0.517,0.6808
147,Nicki Minaj,Fuckin’ Problems,South,"Niggas move weight in the South, but live in Hoboken","Rip it off, no joking, like your name Hulk Hogan","Bitch, I spit that crack, like I\'m in that trap","{'neg': 0.162, 'neu': 0.515, 'pos': 0.324, 'compound': 0.296}",0.324,0.162,0.515,0.296
