,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
139,Dead Prez,Hell Yeah (instrumental),2003-01-01,America,For American Express,And its gonna be bout 3 weeks a waiting,Discoviry card,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
140,Dead Prez,Hell Yeah (Original),2003-01-01,Brooklyn,"Brooklyn, come on, come on","T-Town, who wanna ride?",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
141,Dead Prez,Hell Yeah (Original),2003-01-01,America,"For American Express, Discover Card",And it's gonna be bout three weeks of waitin',"Platinum Visa, Master Card","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
142,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,Brooklyn,"Brooklyn, come on, come on","Tee Town, who wanna ride",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
143,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,America,For American Express,And its gonna be bout 3 weeks of waiting,Discover Card,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
144,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,Brooklyn,Brooklyn,Tee Town (Who wanna ride?),"Come on, Come on","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
145,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,America,For American Express,And its gonna be bout 3 weeks a waiting,Discoviry card,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
146,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,Brooklyn,Brooklyn,Tee Town (Who want to ride?),"Come on, Come on","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",0.206,0.0,0.794,0.0772
147,Dead Prez,Hell Yeah (Pimp the System),2010-06-22,America,For American Express,And its gonna be bout 3 weeks a waiting,It's cause we card,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
148,Dead Prez,I Have a Dream Too,,America,"I\'m a African, never was a African-American","Shackles on my forearm, running with a gun in my palm","Blacker than black, I take it back to my origin","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",0.0,0.211,0.789,-0.34
149,Dead Prez,I Have a Dream Too,,New York,"New York and Cali, F-L-A","Puerto Rico, Haiti, and J.A","Yo, it ain\'t \'bout where you stay.  It\'s ‘bout the motherland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
150,Dead Prez,I Have a Dream Too,,New York,"New York and Cali, F-L-A","Puerto Rico, Haiti, and J.A","Yo, it ain\'t \'bout where you stay.  It\'s ‘bout the motherland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
151,Dead Prez,I Have a Dream Too,,America,"I\'m not American, punk, Democrat or Republican",Tried to infiltrate and murder off the best of my clan,Remember that most of the cats we know be hustling,"{'neg': 0.263, 'neu': 0.503, 'pos': 0.235, 'compound': -0.128}",0.235,0.263,0.503,-0.128
152,Dead Prez,I Have a Dream Too,,America,I\'m a African.  Never was a African-American,"My forearm, running with a gun in my palm","Blacker than black, I take it back to my origin","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",0.0,0.255,0.745,-0.34
153,Dead Prez,I Have a Dream Too,,New York,"New York and Cali, F-L-A","Puerto Rico, Haiti, and J.A","Yo, it ain\'t \'bout where you stay.  It\'s ‘bout the motherland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
154,Dead Prez,I Have a Dream Too,,America,"American, punk, Democrat or Republican",Tried to infiltrate and murder off the best of my clan.  I\'m not,Remember that most of the cats we know be hustling,"{'neg': 0.236, 'neu': 0.553, 'pos': 0.211, 'compound': -0.128}",0.211,0.236,0.553,-0.128
155,Dead Prez,I Have a Dream Too,,America,I\'m a African.  Never was a African-American,"My forearm, running with a gun in my palm","Blacker than black, I take it back to my origin","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",0.0,0.255,0.745,-0.34
156,Dead Prez,I Have a Dream Too,,New York,"New York and Cali, F-L-A","Puerto Rico, Haiti, and J.A","Yo, it ain\'t \'bout where you stay.  It\'s ‘bout the motherland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
157,Dead Prez,I Have a Dream Too,,America,"American, punk, Democrat or Republican",Tried to infiltrate and murder off the best of my clan.  I\'m not,Remember that most of the cats we know be hustling,"{'neg': 0.236, 'neu': 0.553, 'pos': 0.211, 'compound': -0.128}",0.211,0.236,0.553,-0.128
158,Dead Prez,Dead Prez,2004-01-01,America,"I'm an African, never was an African-American","Shackles on my forearm, running with the gun on my palm","Blacker than black, I take it back to my origin","{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0,0.194,0.806,-0.34
159,Dead Prez,Dead Prez,2004-01-01,New York,"New York and Cali, F-L-A","A-F-R-I-C-A, Puerto Rico, Haiti, and J.A","No it ain't 'bout where you stay, it's bout the motherland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
160,Dead Prez,Dead Prez,2004-01-01,America,"I'm not American, punk -- Democrat or Republican",Tried to infiltrate and murder off the best of my clan,"Remember that, most of the cats we know be hustling","{'neg': 0.263, 'neu': 0.503, 'pos': 0.235, 'compound': -0.128}",0.235,0.263,0.503,-0.128
161,Dead Prez,Know Your Enemy,2009-01-01,Brooklyn,"Blood (stic.man - a'what?...)Embed"", ""Last Days Reloaded - 1616552 LyricsSouth Suicide Queens, Brooklyn",Blood (stic.man - a'what?...),All my soldiers gather all your arms,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
162,Dead Prez,Know Your Enemy,2009-01-01,Queens,"Blood (stic.man - a'what?...)Embed"", ""Last Days Reloaded - 1616552 LyricsSouth Suicide Queens, Brooklyn",Blood (stic.man - a'what?...),All my soldiers gather all your arms,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
163,Dead Prez,Know Your Enemy,2009-01-01,America,This is America's nightmare,,"Red, black, green","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
164,Dead Prez,Know Your Enemy,2009-01-01,New York,Crips and Bloods bangin' in New York,,"That's outragesEmbed"", 'Last Dayz Reloaded LyricsSouth suicide Queens","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
165,Dead Prez,Last Dayz Reloaded,2003-07-15,Brooklyn,Brooklyn,"That's outragesEmbed"", 'Last Dayz Reloaded LyricsSouth suicide Queens",All my soldiers gather up all your arms,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.6705}",0.0,0.391,0.609,-0.6705
166,Dead Prez,Last Dayz Reloaded,2003-07-15,America,This is America\'s nightmare,[Verse 1 - Fredro Starr],"Red, black, green and don\'t give a fuck","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
167,Dead Prez,Last Dayz Reloaded,2003-07-15,New York,"Crips and bloods banging in New York, that\'s outrageous","Busting 12 gauges, breaking your minds out the cages",Protesting is hopeless,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
168,Dead Prez,Made You Die (Trayvon Martin Tribute),2012-01-01,Bronx,RBG my family from the Bronx to Miami,"Unless you're banging on the system, you're a gangsta wearing panties",Police cannot stand me packing y'all like a manny,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
169,Dead Prez,Mind Sex,2011-10-04,Brooklyn,"I got a fly spot downtown: Brooklyn, New York","We could, roll some weed, play some records and talk","Now I know you think I wanna fuck, and no doubt","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",0.211,0.0,0.789,0.34
170,Dead Prez,Mind Sex,2011-10-04,New York,"I got a fly spot downtown: Brooklyn, New York","We could, roll some weed, play some records and talk","Now I know you think I wanna fuck, and no doubt","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",0.211,0.0,0.789,0.34
